mse,mae,Label
0.003336516,0.028059881,Aria
0.015129334,0.074272975,Aria
0.0028602635,0.033075422,Aria
0.0022472893,0.03176372,Aria
0.005616811,0.044194285,Aria
0.004814263,0.03332481,Aria
0.0051134527,0.039709214,Aria
0.0042084544,0.040575378,Aria
0.0025187335,0.03001745,Aria
0.026060343,0.068280324,Aria
0.008070466,0.046769172,Aria
0.027895754,0.07334956,Aria
0.0012765941,0.01976128,Aria
0.0012416912,0.022268789,Aria
0.009195992,0.04926679,Aria
0.00301203,0.032580987,Aria
0.003180897,0.02912865,Aria
0.0016032752,0.02799935,Aria
0.008613635,0.049289912,Aria
0.0044175764,0.03785323,Aria
0.022082323,0.060249574,Aria
0.005209313,0.037236087,Aria
0.0034976092,0.03166035,Aria
0.0015520183,0.025119819,Aria
0.003510802,0.037324656,Aria
0.0029947446,0.024615614,Aria
0.018180596,0.07963456,Aria
0.009959202,0.0498594,Aria
0.0026759002,0.038734913,Aria
0.0055188052,0.04915129,Aria
0.0040702256,0.04299923,Aria
0.0067002433,0.041228786,Aria
0.0012611503,0.022961827,Aria
0.009451018,0.06330181,Aria
0.0060044965,0.04018273,Aria
0.025811777,0.06189294,Aria
0.0015765813,0.028439868,Aria
0.00894154,0.04209419,Aria
0.0041823233,0.029454524,Aria
0.010760662,0.05840062,Aria
0.0027056776,0.02927459,Aria
0.006826224,0.04186173,Aria
0.004393247,0.028621836,Aria
0.0058673504,0.042952012,Aria
0.0044669025,0.03904203,Aria
0.0051909285,0.031676654,Aria
0.011180063,0.06761484,Aria
0.007754739,0.051954772,Aria
0.0040427134,0.042908907,Aria
0.001689851,0.025328184,Aria
0.00305106,0.031734854,Aria
0.0033477915,0.033011336,Aria
0.014845971,0.06052646,Aria
0.0024960015,0.027671888,Aria
0.0037511946,0.029810859,Aria
0.014413146,0.049876723,Aria
0.0050208736,0.031034296,Aria
0.0023157056,0.028969562,Aria
0.0043783206,0.04295003,Aria
0.0039316937,0.03445703,Aria
0.0036954107,0.037061516,Aria
0.004431185,0.04385427,Aria
0.009343636,0.06424333,Aria
0.039000954,0.102400646,Aria
0.012371103,0.0744087,Aria
0.0066672736,0.04088773,Aria
0.005727705,0.04184919,Aria
0.0102043655,0.057081617,Aria
0.013928481,0.05958042,Aria
0.0059084874,0.038008902,Aria
0.003127333,0.039478153,Aria
0.0012176983,0.02185554,Aria
0.016180968,0.066325106,Aria
0.018264579,0.076546006,Aria
0.0040336405,0.031303246,Aria
0.043473627,0.13331206,Aria
0.0019451444,0.028583037,Aria
0.008376657,0.052580226,Aria
0.007086887,0.043878753,Aria
0.02273398,0.11435787,Aria
0.0027677123,0.033312876,Aria
0.01285811,0.06537303,Aria
0.0031361845,0.035805628,Aria
0.022714993,0.07451255,Aria
0.0015715681,0.028917277,Aria
0.0033106937,0.028315483,Aria
0.0032027299,0.036047585,Aria
0.00813429,0.051080503,Aria
0.0028400496,0.034760468,Aria
0.010843987,0.06864268,Aria
0.01555576,0.071884856,Aria
0.0031696379,0.039179005,Aria
0.0032982992,0.04540235,Aria
0.0050907456,0.039177146,Aria
0.0039116666,0.03790948,Aria
0.005309068,0.045726545,Aria
0.0018023144,0.024390243,Aria
0.005130047,0.03152491,Aria
0.011072089,0.051794462,Aria
0.0058149262,0.03918147,Aria
0.006529233,0.040678788,Aria
